plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
11 Com b,326.03,19.4,1.29,0.231,,,,,1,RV,2008,185.1795542,17.79265278,0.986,4.783,88.8889,2.7,12.0698,4830,2.31,-0.35,0.32,1.5,0.05,0.005,,,,,1.77295,0.3,0.386245,79,0.1,0.09,0.32,1.5,0.05,0.005,,,,,1.70493,0.3,0.386245,79,-0.1,0.09,1.2,1,-1,,,,,
11 Oph b,730000,21,243,,,,,,1,Imaging,2007,245.6041667,-24.0872222,,,145,0.0162,,2375,4.25,,365000,3,55,,,,,,20,0.005,,175,0.5,,365000,3,55,,,,,,20,0.005,,175,-0.5,,,,,0.011,0.002,0.002,,
11 UMi b,516.22,11.0873,1.54,0.08,,,,,1,RV,2009,229.2745001,71.82387778,1.391,5.024,122.1,1.8,44.65,4340,1.6,0.04,3.25,1.10896,0.07,0.03,,,,,2.89988,0.25,1.4288,70,0.15,0.04,3.25,1.10896,0.07,0.03,,,,,2.76838,0.25,1.4288,70,-0.15,0.04,1.5,0,0,1.56,0.54,0.54,,
14 And b,185.84,4.68383,0.823151,0,,,,,1,RV,2008,352.8216666,39.23640278,1.029,5.22,79.1766,2.2,11.38,4813,2.63,-0.24,0.23,0.22621,0.0191551,,,,,,1.72959,0.1,0.26,20,0.07,0.03,0.23,0.22621,0.0191551,,,,,,1.65719,-0.2,0.26,20,-0.07,-0.03,2.6,,,,,,0.095,
14 Her b,1773.4,4.64,2.77,0.369,,,,,1,RV,2003,242.6008751,43.81836944,0.877,6.61,17.88,1.066,0.912364,5387.61,4.51733,0.459932,2.5,0.19,0.05,0.005,,,,,0.08,0.0420001,0.0328307,44,0.06,0.03,2.5,0.19,0.05,0.005,,,,,-0.08,0.1399999,0.0328307,44,0.06,0.03,1.6,0.5,-0.5,5.1,,,0.161493,-5.06131
16 Cyg B b,799.5,1.68,1.66027,0.689,,,,,1,RV,1997,295.4670834,50.51791944,0.661,6.25,21.22,0.956,1.1176,5674.41,4.35488,0.08,0.6,0.07,0.0277059,0.011,,,,,0.1,0.026,0.0380356,44,0.06,0.04,0.6,0.07,0.0277059,0.011,,,,,-0.1,0.025,0.0380356,44,0.06,0.04,2.17727,0.5,0.5,8,1.8,1.8,0.147649,-5.08366
18 Del b,993.3,10.298,2.58655,0.08,,,,,1,RV,2008,314.6081667,10.83936944,0.934,5.51,75.3012,2.33,9,4979,2.82,-0.052,3.2,0.36138,0.0434657,0.01,,,,,1.7998,0.05,0.31,18,0.06,0.023,3.2,0.36138,0.0434657,0.01,,,,,1.71768,0.05,0.31,18,-0.06,0.023,,,,,,,,
1RXS 1609 b,,14,330,,,1.7,,,1,Imaging,2008,242.375,-21.0827778,,,145,0.73,1.35,4060,,,,2,0,,,,,,20,0.05,,200,,,,3,0,,,,,,20,0.05,,200,,,,,,0.011,0.002,0.002,,
1SWASP J1407 b,3725,20,3.9,,,,,,1,Transit,2012,211.95,-39.76194447,,12.4,133,0.9,0.99,4400,,,900,6,1.7,,,,,,12,,0.11,100,,,900,6,1.7,,,,,,12,,0.11,100,,,,,,0.016,,,,
24 Sex b,452.8,1.83564,1.333,0.184,,,,,2,RV,2011,155.8680417,-0.902161111,0.92,6.61,77.4593,1.81,4.9,5098,3.5,-0.01,2.1,0.108126,0.004,0.029,,,,,2.34913,0.08,0.08,44,0.1,0.05,4.5,0.108126,0.009,0.029,,,,,2.21479,0.08,0.08,44,-0.1,0.05,2.77,0.5,-0.5,2.7,0.4,0.4,,-5.1
24 Sex c,910,1.51716,2.24032,0.412,,,,,2,RV,2011,155.8680417,-0.902161111,0.92,6.61,77.4593,1.81,4.9,5098,3.5,-0.01,21,0.200171,0.0508144,0.064,,,,,2.34913,0.08,0.08,44,0.1,0.05,21,0.200171,0.0508144,0.064,,,,,2.21479,0.08,0.08,44,-0.1,0.05,2.77,0.5,-0.5,2.7,0.4,0.4,,-5.1
2M 0103-55 (AB) b,,13,84,,,,,,1,Imaging,2013,15.9,-55.2656,,,47.2,0.4,,,,,,1,,,,,,,3.1,,,,,,,1,,,,,,,3.1,,,,,,,,,0.03,,,,
2M 0122-24 b,,20,52,,,1,,,1,Imaging,2013,20.7125,-24.6142,,,36,0.4,,,,,,7,6,,,0.2,,,4,0.05,,,,,,7,6,,,0.2,,,4,0.05,,,,,,,,0.12,0.01,0.01,,
2M 0219-39 b,,13.9,156,,,1.44,,,1,Imaging,2015,34.84166667,-39.42305557,,,39.4,0.11,0.27,3064,,,,1.1,10,,,0.03,,,2.6,0.01,0.01,76,,,,1.1,10,,,0.03,,,2.6,0.01,0.01,76,,,,,,,,,,
2M 0746+20 b,4640,30,2.897,0.487,138.2,0.97,,,1,Imaging,2010,116.6791667,20.0088889,,,12.21,0.12,0.089,2205,,,25,25,0.005,0.003,0.5,0.06,,,0.05,0.09,0.003,50,,,25,25,0.005,0.003,0.5,0.06,,,0.05,0.09,0.003,50,,,,,,,,,,
2M 2206-20 b,8686,30,4.48,0,44.3,1.3,,,1,Imaging,2010,331.5958333,-20.785,,,26.67,0.13,0.11,2350,,,69.4,70,0.4,,0.7,0.18,,,2.63,0.05,0.015,80,,,69.4,20,0.4,,0.7,0.18,,,2.63,0.05,0.015,80,,,,,,,,,,
2M J2126-81 b,,13.3,6900,,,,,,1,Imaging,2016,321.3666667,-81.64111113,,9,24.75,0.4,,,,,,1.7,,,,,,,4.25,,,,,,,1.7,,,,,,,4.25,,,,,,,,,0.027,0.017,0.017,,
2MASS J01225093-2439505 b,,24.5,52,,,,,,1,Imaging,2013,20.712243,-24.664049,,14.24,,0.4,,3530,,,,2.5,6,,,,,,,0.05,,50,,,,-2.5,-6,,,,,,,-0.05,,-50,,,,,,0.12,0.01,-0.01,,
2MASS J02192210-3925225 b,,13.9,156,,,1.44,,,1,Imaging,2015,34.842106,-39.422928,,,,0.11,0.28,3064,4.59,,,1.1,10,,,0.03,,,,0.01,0.01,76,0.06,,,-1.1,-10,,,-0.03,,,,-0.01,-0.01,-76,-0.06,,6.5,0.4,-0.4,0.035,0.005,-0.005,,
2MASS J04414489+2301513 b,,7.5,15,,,,,,1,Imaging,2010,70.437073,23.030941,,,,0.02,,,,,,2.5,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,,,,0.001,,,,
2MASS J12073346-3932539 b,,4,46,,,,,,1,Imaging,2004,181.889447,-39.548332,,20.15,,0.02,,,,,,1,5,,,,,,,,,,,,,-1,-5,,,,,,,,,,,,,,,0.008,0.004,-0.003,,
2MASS J19383260+4603591 b,416,1.9,0.92,,,,,,1,Eclipse Timing Variations,2015,294.635865,46.066418,,,,0.6,,,,,2,0.1,0.02,,,,,,,0.03,,,,,2,0.1,0.02,,,,,,,0.03,,,,,,,,,,,,
2MASS J21402931+1625183 A b,7340,20.95,3.53,0.26,46.2,0.92,,,1,Imaging,2009,325.122159,16.421759,,,25,0.08,0.12,2300,,,584,83.79,0.15,0.06,2.5,0.39,,,10,0.06,0.05,80,,,584,-20.95,0.15,0.06,-8.7,0.39,,,10,0.06,-0.04,80,,,,,,,,,,
2MASS J22362452+4751425 b,,12.5,230,,,,,,1,Imaging,2016,339.102203,47.86182,,12.51,,0.6,,4045,,,,1.5,20,,,,,,,0.05,,35,,,,-1.5,-20,,,,,,,-0.05,,-35,,,,,,0.12,0.01,-0.01,,
30 Ari B b,335.1,9.88,0.995,0.289,,,,,1,RV,2009,39.24016667,24.64809444,0.51,7.091,40.783,1.16,1.13,6300,4.5,0.12,2.5,0.94,0.012,0.092,,,,,1.16327,0.04,0.03,60,0.05,0.08,2.5,0.94,0.012,0.092,,,,,1.10051,-0.04,-0.03,-60,0.05,0.08,39,1,1,0.91,0.03,0.03,,
4 UMa b,269.3,7.13242,0.876999,0.432,,,,,1,RV,2007,130.05375,64.32787222,1.197,5.787,78.5,1.234,34.6101,4415,1.8,-0.25,1.96,0.630741,0.0357887,0.024,,,,,1.6,0.15,1.10752,70,0.15,0.04,1.96,0.630741,0.0357887,0.024,,,,,1.6,0.15,1.10752,70,-0.15,0.04,,,,4.604,2,2,0.124,
42 Dra b,479.1,3.73203,1.19,0.38,,,,,1,RV,2009,276.4957917,65.56354722,1.187,4.833,96.5251,0.98,22.04,4200,1.71,-0.46,6.2,0.393113,0.01,0.06,,,,,1.9001,0.05,0.48,70,0.05,0.05,6.2,0.393113,0.01,0.06,,,,,1.82812,0.05,0.48,70,-0.05,0.05,0,0,0,9.49,1.76,1.76,,
